IACO,Reg,Desc,Plane Type,Blah,BlahBlah
AE526A,08-08754,United States Army,Boeing-Vertol CH-47F Chinook,,
AE5276,08-08766,United States Army,Boeing-Vertol CH-47F Chinook,,
AE529D,09-08794,United States Army,Boeing-Vertol CH-47F Chinook,,
AE54B4,12-9506,USAF,Bombardier E-11A,,
AE54F1,166223,United States Navy,Raytheon Aircraft Company T-6B Texan II,,
AE5718,168980,United States Navy,Boeing C-40A Clipper,,
AE5719,168981,United States Navy,Boeing C-40A Clipper,,
AE571A,169036,United States Navy,Boeing C-40A Clipper,,
AE57B7,168851,United States Navy,Boeing P-8A Poseidon,,
AE57B9,168853,United States Navy,Boeing P-8A Poseidon,,
AE57C0,168860,United States Navy,Boeing P-8A Poseidon,,
AE57C7,169002,United States Navy,Boeing P-8A Poseidon,,
AE57CA,169005,United States Navy,Boeing P-8A Poseidon,,
AE57CB,169006,United States Navy,Boeing P-8A Poseidon,,
AE57D0,169011,United States Navy,Boeing P-8A Poseidon,,
AE586D,60-0002,USAF,B-52H Stratofortress,,
AE5870,60-0005,USAF,B-52H Stratofortress,,
AE5871,60-0007,USAF,B-52H Stratofortress,,
AE5872,60-0008,USAF,B-52H Stratofortress,,
AE5873,60-0009,USAF,B-52H Stratofortress,,
AE5875,60-0012,USAF,B-52H Stratofortress,,
AE5876,60-0013,USAF,B-52H Stratofortress,,
AE587A,60-0021,USAF,B-52H Stratofortress,,
AE587B,60-0022,USAF,B-52H Stratofortress,,
AE587C,60-0023,USAF,B-52H Stratofortress,,
AE587D,60-0024,USAF,B-52H Stratofortress,,
AE587E,60-0025,USAF,B-52H Stratofortress,,
AE587F,60-0026,USAF,B-52H Stratofortress,,
AE5881,60-0029,USAF,B-52H Stratofortress,,
AE5882,60-0032,USAF,B-52H Stratofortress,,
AE5883,60-0033,USAF,B-52H Stratofortress,,
AE5884,60-0034,USAF,B-52H Stratofortress,,
AE5885,60-0037,USAF,B-52H Stratofortress,,
AE5887,60-0041,USAF,B-52H Stratofortress,,
AE5889,60-0044,USAF,B-52H Stratofortress,,
AE588A,60-0045,USAF,B-52H Stratofortress,,
AE588C,60-0048,USAF,B-52H Stratofortress,,
AE5891,60-0056,USAF,B-52H Stratofortress,,
AE5893,60-0058,USAF,B-52H Stratofortress,,
AE5894,60-0059,USAF,B-52H Stratofortress,,
AE5895,60-0060,USAF,B-52H Stratofortress,,
AE5896,60-0061,USAF,B-52H Stratofortress,,
AE5897,60-0062,USAF,B-52H Stratofortress,,
AE5898,61-0001,USAF,B-52H Stratofortress,,
AE5899,61-0002,USAF,B-52H Stratofortress,,
AE589A,61-0003,USAF,B-52H Stratofortress,,
AE589D,61-0006,USAF,B-52H Stratofortress,,
AE589F,61-0010,USAF,B-52H Stratofortress,,
AE58A2,61-0013,USAF,B-52H Stratofortress,,
AE58A7,61-0018,USAF,B-52H Stratofortress,,
AE58AA,61-0020,USAF,B-52H Stratofortress,,
AE58AD,61-0031,USAF,B-52H Stratofortress,,
AE58AE,61-0034,USAF,B-52H Stratofortress,,
AE58B2,61-0039,USAF,B-52H Stratofortress,,
AE58F4,166255,United States Navy,Raytheon T-6A Texan II,,
AE599B,13-08134,United States Army,Boeing-Vertol CH-47F Chinook,,
AE599F,13-08437,United States Army,Boeing-Vertol CH-47F Chinook,,
AE59AA,13-08443,United States Army,Boeing-Vertol CH-47F Chinook,,
AE59C4,14-08163,United States Army,Boeing CH-47F Chinook,,
AE59CD,14-08452,United States Army,Boeing CH-47F Chinook,,
AE59DB,15-08176,United States Army,Boeing-Vertol CH-47F Chinook,,
AE59DF,14-08462,United States Army,Boeing-Vertol CH-47F Chinook,,
AE5C58,169326,United States Navy,Boeing P-8A Poseidon,,
AE5C5A,169328,United States Navy,Boeing P-8A Poseidon,,
AE5C5C,169330,United States Navy,Boeing P-8A Poseidon,,
AE5C60,169334,United States Navy,Boeing P-8A Poseidon,,
AE5C68,169342,United States Navy,Boeing P-8A Poseidon,,
AE5C6E,16-9348,United States Navy,Boeing P-8A Poseidon,,
AE5E76,169177,United States Marine Corps,Sikorsky S-92 VH-92A,,
AE5E77,169178,United States Marine Corps,Sikorsky S-92 VH-92A,,
AE5E79,169180,United States Marine Corps,Sikorsky S-92 VH-92A,,
AE5F3C,169547,United States Navy,Boeing P-8A Poseidon,,
AE5F47,169558,United States Navy,Boeing P-8A Poseidon,,
AE5F50,169567,United States Navy,Boeing P-8A Poseidon,,
AE60E9,160472,United States Marine Corps,Beech T-34C Turbo Mentor,,
AE60EC,160490,United States Marine Corps,Beech T-34C Turbo Mentor,,
AE61BF,761528,United States Navy,Northrop F-5N Tiger II,,
AE61C0,761531,United States Navy,Northrop F-5N Tiger II,,
AE61C1,761532,United States Navy,Northrop F-5N Tiger II,,
AE61C2,761534,United States Navy,Northrop F-5N Tiger II,,
AE61C3,761535,United States Navy,Northrop F-5N Tiger II,,
AE61C4,761536,United States Marine Corps,Northrop F-5N Tiger II,,
AE61C5,761537,United States Navy,Northrop F-5N Tiger II,,
AE61C6,761541,United States Marine Corps,Northrop F-5N Tiger II,,
AE61C7,761544,United States Navy,Northrop F-5N Tiger II,,
AE61C8,761545,United States Navy,Northrop F-5N Tiger II,,
AE61C9,761546,United States Marine Corps,Northrop F-5N Tiger II,,
AE61CE,761551,United States Navy,Northrop F-5N Tiger II,,
AE61CF,761552,United States Navy,Northrop F-5N Tiger II,,
AE61D0,761554,United States Navy,Northrop F-5N Tiger II,,
AE61D4,761560,United States Navy,Northrop F-5N Tiger II,,
AE61D7,761568,United States Navy,Northrop F-5N Tiger II,,
AE61DB,761572,United States Marine Corps,Northrop F-5N Tiger II,,
AE61DF,761578,United States Navy,Northrop F-5N Tiger II,,
AE61E0,761579,United States Marine Corps,Northrop F-5N Tiger II,,
AE61E2,761583,United States Navy,Northrop F-5N Tiger II,,
AE61E3,810834,United States Navy,Northrop F-5N Tiger II,,
AE626C,????,United States Navy,McDonnell Douglas T-45C Goshawk,,
AE6272,??????,United States Navy,McDonnell Douglas T-45 Goshawk,,
AE6280,????,United States Navy,McDonnell Douglas T-45C Goshawk,,
AE6284,163647,United States Navy,McDonnell Douglas T-45C Goshawk,,
AE6289,????,United States Navy,McDonnell Douglas T-45C Goshawk,,
AE629F,165073,United States Navy,McDonnell Douglas T-45C Goshawk,,
AE62B5,165464,United States Navy,McDonnell Douglas T-45C Goshawk,,
AE62D1,165495,United States Navy,McDonnell Douglas T-45C Goshawk,,
AE62D5,165598,United States Navy,McDonnell Douglas T-45C Goshawk,,
AE62E5,165614,United States Navy,McDonnell Douglas T-45C Goshawk,,
AE62F8,165634,United States Navy,McDonnell Douglas T-45C Goshawk,,
AE62FC,165638,United States Navy,McDonnell Douglas T-45C Goshawk,,
AE6318,????,United States Navy,McDonnell Douglas T-45C Goshawk,,
AE631B,????,United States Navy,McDonnell Douglas T-45C Goshawk,,
AE638D,169792,United States Navy,Boeing C-40A Clipper,,
AE638E,169793,United States Navy,Boeing C-40A Clipper,,
AE63E0,64-13270,USAF,Northrop T-38A Talon,,
AE63E2,64-13297,USAF,Northrop T-38A Talon,,
AE63E5,65-10342,USAF,Northrop T-38A Talon,,
AE63E7,66-4332,USAF,Northrop T-38A Talon,,
AE63E8,62-3702,USAF,Northrop T-38A Talon,,
AE63EA,63-8163,USAF,Northrop T-38A Talon,,
AE63F2,64-13176,USAF,Northrop T-38A Talon,,
AE63F3,68-8185,USAF,Northrop T-38A Talon,,
AE63F4,68-8154,USAF,Northrop T-38A Talon,,
AE63F8,66-8404,USAF,Northrop T-38A Talon,,
AE63F9,67-14833,USAF,Northrop T-38A Talon,,
AE6401,70-1559,USAF,Northrop T-38A Talon,,
AE6404,60-0582,USAF,Northrop T-38C Talon,,
AE6406,64-13269,USAF,Northrop T-38C Talon,,
AE6407,61-0904,USAF,Northrop T-38A Talon,,
AE660C,17-01001,United States Army,Boeing-Vertol CH-47F Chinook,,
AE6790,Tactical,United States Navy,Boeing P-8A Poseidon,,
AE679A,Tactical,United States Navy,Boeing P-8A Poseidon,,
AE679E,Tactical,United States Navy,Boeing P-8A Poseidon,,
AE67A6,Tactical,United States Navy,Boeing P-8A Poseidon,,
AE67A8,Tactical,United States Navy,Boeing P-8A Poseidon,,
AE67AA,Tactical,United States Navy,Boeing P-8A Poseidon,,
AE67AB,????,United States Navy,Boeing P-8A Poseidon,,
AE67B1,????,United States Navy,Boeing P-8A Poseidon,,
AE67BB,Tactical,United States Navy,Boeing P-8A Poseidon,,
AE67C0,Tactical,United States Navy,Boeing P-8A Poseidon,,
AE67C1,Tactical,United States Navy,Boeing P-8A Poseidon,,
AE67CF,????,United States Navy,Boeing P-8A Poseidon,,
AE67D1,Tactical,United States Navy,Boeing P-8A Poseidon,,
AE67D2,Tactical,United States Navy,Boeing P-8A Poseidon,,
AE67E3,Tactical,United States Navy,Boeing P-8A Poseidon,,
AE67F8,Tactical,United States Navy,Boeing P-8A Poseidon,,
AE67FE,????,United States Navy,Boeing P-8A Poseidon,,
AE6804,Tactical,United States Navy,Boeing P-8A Poseidon,,
AE6805,Tactical,United States Navy,Boeing P-8A Poseidon,,
AE6807,Tactical,United States Navy,Boeing P-8A Poseidon,,
AE6808,????,United States Navy,Boeing P-8A Poseidon,,
AE6813,Tactical,United States Navy,Boeing P-8A Poseidon,,
AE681F,Tactical,United States Navy,Boeing P-8A Poseidon,,
AE6829,????,United States Navy,Boeing P-8A Poseidon,,
AE6833,????,United States Navy,Boeing P-8A Poseidon,,
AE683A,Tactical,United States Navy,Boeing P-8A Poseidon,,
AE683E,Tactical,United States Navy,Boeing P-8A Poseidon,,
AE684E,168850,United States Navy,Boeing P-8A Poseidon,,
AE6852,Tactical,United States Navy,Boeing P-8A Poseidon,,
AE6854,????,United States Navy,Boeing P-8A Poseidon,,
AE6891,????,United States Navy,Boeing P-8A Poseidon,,
AE68A5,Tactical,United States Navy,Boeing P-8A Poseidon,,
AE68A9,Tactical,United States Navy,Boeing P-8A Poseidon,,
AE68AA,Tactical,United States Navy,Boeing P-8A Poseidon,,
AE68AB,Tactical,United States Navy,Boeing P-8A Poseidon,,
AE6996,16-08478,United States Army,Boeing CH-47F Chinook,,
AE77A3,22-9046,USAF,Bombardier E-11A,,
B648D9,09-0540,USAF,Boeing C-40C,,
C001B2,C-FAQR,SkyCare Air Ambulance,Piper PA-31 Navajo C,,
C00BDC,C-FEMT,Fox Flight Inc,Learjet 40,,
C00F23,C-FFTA,Top Aces Inc,Dassault-Breguet Alpha Jet,,
C01228,C-FGWT,Top Aces Inc,Douglas TA-4J Skyhawk,,
C01254,C-FGYL,Top Aces Inc,Douglas A-4N Ayit,,
C0125B,C-FGYS,Top Aces Inc,Douglas A-4N Ayit,,
C01266,C-FGZD,Top Aces Inc,Douglas A-4N Skyhawk,,
C01267,C-FGZE,Top Aces Inc,Douglas A-4N Skyhawk,,
C0126A,C-FGZH,Top Aces Inc,Douglas A-4N Skyhawk,,
C0126B,C-FGZI,Top Aces Inc,Douglas A-4N Ayit,,
C01271,C-FGZO,Top Aces Inc,Douglas A-4N Skyhawk,,
C01275,C-FGZS,Top Aces Inc,Douglas A-4N Skyhawk,,
C01276,C-FGZT,Top Aces Inc,Douglas A-4N Skyhawk,,
C01479,C-FHTO,Top Aces Inc,Dassault-Breguet Alpha Jet,,
C0168E,C-FIOB,SkyCare Air Ambulance,Swearingen Metro 3,,
C0168F,C-FIOC,SkyCare Air Ambulance,Swearingen Metro 3,,
C02617,C-FOLA,Private,Amateur Built Gilbert Super Chipmunk,,
C026E7,C-FOTA,Top Aces Inc,Dassault-Breguet Alpha Jet,,
C0298B,C-FPTA,Top Aces Inc,Dassault-Breguet Alpha Jet,,
C02DE8,C-FRJZ,Latitude Air Ambulance,IAI 1125 Astra SP,,
C02E82,C-FRPX,SkyCare Air Ambulance,Swearingen Merlin,,
C03177,C-FSTA,Top Aces Inc,Dassault-Breguet Alpha Jet,,
C03231,C-FTAE,Top Aces Inc,Dassault-Breguet Alpha Jet,,
C03244,C-FTAX,Top Aces Inc,Dassault-Breguet Alpha Jet,,
C033A3,C-FTOK,Top Aces Inc,Dassault-Breguet Alpha Jet,,
C03480,C-FTWX,Top Aces Inc,Israel Aircraft Industries 1124 Westwind,,
C03D1A,C-FXDP,SkyCare Air Ambulance,IAI 1124 Westwind,,
C04082,C-FYLD,Latitude Air Ambulance,IAI 1125 Astra SP,,
C045A5,C-GAJS,Latitude Air Ambulance,Learjet 35A,,
C04937,C-GBSW,Latitude Air Ambulance,IAI 1125 Astra SPX,,
C04B8E,C-GCPX,SkyCare Air Ambulance,Swearingen Merlin,,
C053D9,C-GFTO,Top Aces Inc,Dassault-Breguet Alpha Jet,,
C059B6,C-GHZH,Top Aces Inc,Dassault-Breguet Alpha Jet,,
C059DF,C-GIAW,SkyCare Air Ambulance,IAI 1124 Westwind,,
C05BB7,C-GITA,Top Aces Inc,Dassault-Breguet Alpha Jet,,
C05E5B,C-GJTA,Top Aces Inc,Dassault-Breguet Alpha Jet,,
C05FA0,C-GKFN,Top Aces Inc,Dassault-Breguet Alpha Jet,,
C06312,C-GLNL,Latitude Air Ambulance,Learjet 35A,,
C063B1,C-GLTO,Top Aces Inc,Dassault-Breguet Alpha Jet,,
C06455,C-GLZW,Top Aces Inc,Dassault-Breguet Alpha Jet,,
C06457,C-GLZY,Top Aces Inc,Dassault-Breguet Alpha Jet,,
C06487,C-GMBU,Top Aces Inc,Dassault-Breguet Alpha Jet,,
C068EB,C-GNTA,Top Aces Inc,Dassault-Breguet Alpha Jet,,
C070D7,C-GQTA,Top Aces Inc,Dassault-Breguet Alpha Jet,,
C07142,C-GQXD,SkyCare Air Ambulance,Piper PA-31 Navajo C,,
C07286,C-GRJP,Latitude Air Ambulance,IAI 1125 Astra SP,,
C077B1,C-GTIM,SkyCare Air Ambulance,Swearingen Metro 2,,
C0784A,C-GTOJ,Top Aces Inc,Dassault-Breguet Alpha Jet,,
C0792F,C-GTXE,Top Aces Inc,Gates Learjet 35 A,,
C07937,C-GTXM,Top Aces Inc,Gates Learjet 35 A,,
C0793D,C-GTXS,Top Aces Inc,Gates Learjet 35 A,,
C07B67,C-GUTA,Top Aces Inc,Dassault-Breguet Alpha Jet,,
C07B75,C-GUTO,Top Aces Inc,Dassault-Breguet Alpha Jet,,
C07D87,C-GVNY,Top Aces Inc,Dassault-Breguet Alpha Jet,,
C07E0B,C-GVTA,Top Aces Inc,Dassault-Breguet Alpha Jet,,
C08163,C-GWZY,Top Aces Inc,Dassault-Breguet Alpha Jet,,
C082B8,C-GXNB,Top Aces Inc,Dassault-Breguet Alpha Jet,,
C08554,C-GYMT,Top Aces Inc,Dassault-Breguet Alpha Jet,,
C08605,C-GYTO,Top Aces Inc,Dassault-Breguet Alpha Jet,,
C0871C,C-GZEH,Top Aces Inc,Dassault-Breguet Alpha Jet,,
C088A9,C-GZTO,Top Aces Inc,Dassault-Breguet Alpha Jet,,
C2B1BB,140103,Royal Canadian Air Force,Lockheed CP-140 Orion,,
C2B1C5,140104,Royal Canadian Air Force,Lockheed CP-140 Orion,,
C2B20B,140111,Royal Canadian Air Force,Lockheed CP-140 Orion,,
C2B229,140114,Royal Canadian Air Force,Lockheed CP-140 Orion,,
C2B247,140117,Royal Canadian Air Force,Lockheed CP-140 Orion,,
C2B251,140118,Royal Canadian Air Force,Lockheed CP-140 Orion,,
C2B35F,15002,Royal Canadian Air Force,Airbus CC-150 304/MRTT,,
C2B37D,15005,Royal Canadian Air Force,Airbus CC-150 304/MRTT,,
C2B3B9,15003,Royal Canadian Air Force,Airbus CC-150 304/MRTT,,
C2B3C3,15004,Royal Canadian Air Force,Airbus CC-150 304/MRTT,,
A1CA5F,N214WN,SOUTHWEST AIRLINES CO,BOEING 737-700,B737,,,,,,
A20A81,N230WN,SOUTHWEST AIRLINES CO,BOEING 737-700,B737,,,,,,
A2CFFC,N280WN,SOUTHWEST AIRLINES CO,BOEING 737-700,B737,,,,,,
A4AEA2,N400WN,SOUTHWEST AIRLINES CO,BOEING 737-700,B737,,,,,,
AD21BC,N945WN,SOUTHWEST AIRLINES CO,BOEING 737-700,B737,,,,,,
AD2573,N946WN,SOUTHWEST AIRLINES CO,BOEING 737-700,B737,,,,,,
AD493B,N955WN,SOUTHWEST AIRLINES CO,BOEING 737-700,B737,,,,,,
A63BF4,N500WR,SOUTHWEST AIRLINES CO,BOEING 737-800,B738,,,,,,
ABD627,N8619F,SOUTHWEST AIRLINES CO,BOEING 737-800,B738,,,,,,
ABD8A5,N8620H,SOUTHWEST AIRLINES CO,BOEING 737-800,B738,,,,,,
ABE0DF,N8646B,SOUTHWEST AIRLINES CO,BOEING 737-800,B738,,,,,,
ABE42C,N8653A,SOUTHWEST AIRLINES CO,BOEING 737-800,B738,,,,,,
ABE475,N8655D,SOUTHWEST AIRLINES CO,BOEING 737-800,B738,,,,,,
ABFC71,N8710M,SOUTHWEST AIRLINES CO,BOEING 737 MAX 8,B38M,,,,,,
ABFAC6,N871HK,SOUTHWEST AIRLINES CO,,B38M,,,,,,
ABFDF8,N872CB,SOUTHWEST AIRLINES CO,BOEING 737 MAX 8,B38M,,,,,,
852A24,JA381A,,AIRBUS A-380-800,A388,,,,,,
852A46,JA382A,,AIRBUS A-380-800,A388,,,,,,
852A68,JA383A,,AIRBUS A-380-800,A388,,,,,,
85C5DC,JA51AN,,BOEING 737-800,B738,,,,,,
861BCA,JA608A,,BOEING 767-300,B763,,,,,,
861ED6,JA614A,,BOEING 767-300,B763,,,,,,
868338,JA743A,,BOEING 777-200,B772,,,,,,
86837C,JA745A,,BOEING 777-200,B772,,,,,,
8691AA,JA784A,,BOEING 777-300ER,B77W,,,,,,
86E7DE,JA874A,,BOEING 787-8 Dreamliner,B788,,,,,,
86E778,JA871A,,BOEING 787-9 Dreamliner,B789,,,,,,
86E79A,JA872A,,BOEING 787-9 Dreamliner,B789,,,,,,
86E7BC,JA873A,,BOEING 787-9 Dreamliner,B789,,,,,,
86E800,JA875A,,BOEING 787-9 Dreamliner,B789,,,,,,
86EF06,JA894A,,BOEING 787-9 Dreamliner,B789,,,,,,
86EFB0,JA899A,,BOEING 787-9 Dreamliner,B789,,,,,,
857CC4,JA461A,,DE HAVILLAND DHC-8-400 Dash 8,DH8D,,,,,,
A5D570,N475UA,UNITED AIRLINES INC,AIRBUS A-320,A320,,,,,,
AA2BC4,N75435,UNITED AIRLINES INC,BOEING 737-900,B739,,,,,,
A2B12E,N27261,WILMINGTON TRUST CO TRUSTEE,BOEING 737 MAX 8,B38M,,,,,,
A2BF39,N27602,BOEING CO,BOEING 737 MAX 10,B3XM,,,,,,
A0A8DA,N14102,UNITED AIRLINES INC,BOEING 757-200,B752,,,,,,
A0A8DE,N14106,UNITED AIRLINES INC,BOEING 757-200,B752,,,,,,
4CC2A5,TF-FIR,,BOEING 757-200,B752,,,,,,
4CC2C5,TF-FIU,,BOEING 757-200,B752,,,,,,
4CC2AD,TF-FIV,,BOEING 757-200,B752,,,,,,
4CC4A9,TF-LLL,,BOEING 757-200,B752,,,,,,
4CC518,TF-ISX,,BOEING 757-300,B753,,,,,,
AC82F8,N905NN,BANK OF UTAH TRUSTEE,BOEING 737-800,B738,,,,,,
ACAA77,N915NN,WELLS FARGO TRUST CO NA TRUSTEE,BOEING 737-800,B738,,,,,,
ACAE2E,N916NN,WELLS FARGO TRUST CO NA TRUSTEE,BOEING 737-800,B738,,,,,,
ACB1E5,N917NN,BANK OF UTAH TRUSTEE,BOEING 737-800,B738,,,,,,
ACC31A,N921NN,WELLS FARGO TRUST CO NA TRUSTEE,BOEING 737-800,B738,,,,,,
A76DF8,N578UW,AMERICAN AIRLINES INC,AIRBUS A-321,A321,,,,,,
A771AF,N579UW,AMERICAN AIRLINES INC,AIRBUS A-321,A321,,,,,,
A777BF,N580UW,AMERICAN AIRLINES INC,AIRBUS A-321,A321,,,,,,
A77B76,N581UW,AMERICAN AIRLINES INC,AIRBUS A-321,A321,,,,,,
A77F2D,N582UW,AMERICAN AIRLINES INC,AIRBUS A-321,A321,,,,,,
A0F91D,N162AA,AMERICAN AIRLINES INC,AIRBUS A-321,A321,,,,,,
A10BBC,N167AN,AMERICAN AIRLINES INC,AIRBUS A-321,A321,,,,,,
A4D838,N411DX,BANK OF UTAH TRUSTEE,AIRBUS A-330-900,A339,,,,,,
A68CFD,N521DN,DELTA AIR LINES INC,,,,,,,,
AB9387,N845MH,DELTA AIR LINES INC,BOEING 767-400,B764,,,,,,
A7D2F1,N603FR,BANK OF UTAH TRUSTEE,AIRBUS A-321neo,A21N,,,,,,
A7D6A8,N604FR,BANK OF UTAH TRUSTEE,AIRBUS A-321neo,A21N,,,,,,
A7DA5F,N605FR,BANK OF UTAH TRUSTEE,AIRBUS A-321neo,A21N,,,,,,
A6B4F7,N531JL,UMB BANK NA TRUSTEE,AIRBUS A-320,A320,,,,,,
A78CFC,N586JB,JETBLUE AIRWAYS CORP,AIRBUS A-320,A320,,,,,,
A7B0C4,N595JB,JETBLUE AIRWAYS CORP,AIRBUS A-320,A320,,,,,,
A7BBE9,N598JB,JETBLUE AIRWAYS CORP,AIRBUS A-320,A320,,,,,,
A7D32E,N603JB,JETBLUE AIRWAYS CORP,AIRBUS A-320,A320,,,,,,
A7DA9C,N605JB,JETBLUE AIRWAYS CORP,AIRBUS A-320,A320,,,,,,
A8021B,N615JB,JETBLUE AIRWAYS,AIRBUS A-320,A320,,,,,,
A8222C,N623JB,JETBLUE AIRWAYS CORP,AIRBUS A-320,A320,,,,,,
A845F4,N632JB,JETBLUE AIRWAYS CORP,AIRBUS A-320,A320,,,,,,
A849AB,N633JB,JETBLUE AIRWAYS CORP,AIRBUS A-320,A320,,,,,,
A883BD,N648JB,JETBLUE AIRWAYS CORP,AIRBUS A-320,A320,,,,,,
A96BA2,N706JB,JETBLUE AIRWAYS CORP,AIRBUS A-320,A320,,,,,,
AA099E,N746JB,JETBLUE AIRWAYS CORP,AIRBUS A-320,A320,,,,,,
AA4D77,N763JB,JETBLUE AIRWAYS CORP,AIRBUS A-320,A320,,,,,,
AA7C64,N775JB,JETBLUE AIRWAYS CORP,AIRBUS A-320,A320,,,,,,
AA8B40,N779JB,JETBLUE AIRWAYS CORP,AIRBUS A-320,A320,,,,,,
AB0416,N809JB,JETBLUE AIRWAYS CORP,AIRBUS A-320,A320,,,,,,
A32EF8,N304JB,JETBLUE AIRWAYS CORP,EMBRAER ERJ-190-100,E190,,,,,,
C06724,C-GNBN,Air Canada,AIRBUS A220-300,BCS3,,,,,,
C038AA,C-FVLX,Air Canada,BOEING 787-9 Dreamliner,B789,,,,,,
0C203A,HP-1534CMP,,BOEING 737-800,B738,,,,,,
0C20AB,HP-1841CMP,,BOEING 737-800,B738,,,,,,
0C20BB,HP-1849CMP,,BOEING 737-800,B738,,,,,,
0C217C,HP-9926CMP,,BOEING 737 MAX 9,B39M,,,,,,
0C2188,HP-9927CMP,,BOEING 737 MAX 9,B39M,,,,,,
A91B2B,N686TA,UMB BANK NA TRUSTEE,AIRBUS A-320,A320,,,,,,
3C6595,D-AILU,,AIRBUS A-319,A319,,,,,,
3C6659,D-AIRY,,AIRBUS A-321,A321,,,,,,
3C4B34,D-ABYT,,BOEING 747-8,B748,,,,,,
4CA281,EI-DEI,,AIRBUS A-320,A320,,,,,,
4CA92D,EI-DVM,,AIRBUS A-320,A320,,,,,,
400879,G-EUPJ,,AIRBUS A-319,A319,,,,,,
407464,G-TTNA,,AIRBUS A-320neo,A20N,,,,,,
4007F7,G-YMML,,BOEING 777-200,B772,,,,,,
7C146F,VH-EBL,QANTAS AIRWAYS LIMITED,AIRBUS A-330-200,A332,,,,,,
7C1479,VH-EBV,QANTAS AIRWAYS LIMITED,AIRBUS A-330-200,A332,,,,,,
7C6D9C,VH-VXQ,QANTAS AIRWAYS LIMITED,BOEING 737-800,B738,,,,,,
7C77FD,VH-XZJ,QANTAS AIRWAYS LIMITED,BOEING 737-800,B738,,,,,,
7C7803,VH-XZP,QANTAS AIRWAYS LIMITED,BOEING 737-800,B738,,,,,,
7C8067,VH-ZND,QANTAS AIRWAYS LIMITED,BOEING 787-9 Dreamliner,B789,,,,,,
7C806D,VH-ZNJ,QANTAS AIRWAYS LIMITED,BOEING 787-9 Dreamliner,B789,,,,,,
C82744,ZK-NNA,,AIRBUS A-321neo,A21N,,,,,,
A6CA7F,N537AS,ALASKA AIRLINES INC,BOEING 737-800,B738,,,,,,
A6CE36,N538AS,ALASKA AIRLINES INC,BOEING 737-800,B738,,,,,,
A720EB,N559AS,ALASKA AIRLINES INC,BOEING 737-800,B738,,,,,,
A7398E,N565AS,ALASKA AIRLINES INC,BOEING 737-800,B738,,,,,,
A74E7A,N570AS,ALASKA AIRLINES INC,BOEING 737-800,B738,,,,,,
A24DC1,N248AK,ALASKA AIRLINES INC,BOEING 737-900,B739,,,,,,
A2919A,N265AK,ALASKA AIRLINES INC,BOEING 737-900,B739,,,,,,
A61797,N492AS,ALASKA AIRLINES INC,BOEING 737-900,B739,,,,,,
ACED21,N932AK,ALASKA AIRLINES INC,BOEING 737 MAX 9,B39M,,,,,,
ACFBFD,N936AK,BANK OF UTAH TRUSTEE,BOEING 737 MAX 9,B39M,,,,,,
A891E5,N651QX,HORIZON AIR INDUSTRIES INC,EMBRAER ERJ-170-200 (long wing),E75L,,,,,,
A89545,N652MK,HORIZON AIR INDUSTRIES INC,,E75L,,,,,,
A8B964,N661QX,HORIZON AIR INDUSTRIES INC,,E75L,,,,,,
A8BD1B,N662QX,HORIZON AIR INDUSTRIES INC,EMBRAER ERJ-170-200 (long wing),E75L,,,,,,
